artists,track_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
The Clash,London Calling - Remastered,0.651,0.801,0,-7.34,0.0513,0.123,0.0,0.0825,0.776,133.763,alt-rock
Nirvana,Come As You Are,0.5,0.824,4,-5.846,0.0388,0.00016,0.00161,0.0916,0.539,120.125,alt-rock
Jimi Hendrix,Purple Haze,0.533,0.905,2,-5.27,0.0754,0.00876,0.578,0.0698,0.486,108.9,alt-rock
U2,Pride (In The Name Of Love) - Remastered 2009,0.458,0.843,4,-7.201,0.0316,0.00135,0.000296,0.778,0.713,105.701,alt-rock
Aerosmith,Dream On,0.307,0.433,1,-10.057,0.029,0.388,9.08e-05,0.332,0.224,160.9,alt-rock
U2,Sunday Bloody Sunday - Remastered 2008,0.543,0.944,6,-7.495,0.0543,0.402,0.000564,0.0373,0.735,101.174,alt-rock
Led Zeppelin,Rock and Roll - Remaster,0.317,0.887,9,-7.292,0.0375,0.000582,0.00258,0.0891,0.871,169.613,alt-rock
The Beatles,In My Life - Remastered 2009,0.688,0.435,9,-11.359,0.0323,0.449,0.0,0.113,0.435,103.239,alt-rock
The Beatles,Let It Be - Remastered 2009,0.443,0.403,0,-8.339,0.0322,0.631,0.0,0.111,0.41,143.462,alt-rock
The Who,Baba O'Riley,0.489,0.724,5,-8.367,0.0352,0.313,0.185,0.287,0.15,117.292,alt-rock
Pearl Jam,Jeremy,0.285,0.846,2,-6.472,0.0438,0.0404,0.0,0.182,0.287,108.808,alt-rock
Guns N' Roses,Welcome To The Jungle,0.447,0.954,8,-8.069,0.0751,0.0235,0.403,0.298,0.331,123.453,alt-rock
The Verve,Bitter Sweet Symphony,0.356,0.917,9,-6.006,0.0479,0.0335,0.0,0.406,0.518,171.176,alt-rock
The Police,Roxanne,0.618,0.748,0,-8.905,0.358,0.0384,4.1e-06,0.0473,0.663,134.114,alt-rock
Pink Floyd,Money,0.469,0.537,9,-10.421,0.152,0.0241,0.00201,0.269,0.783,124.193,alt-rock
The Police,Every Breath You Take - Remastered 2003,0.813,0.46,1,-9.78,0.0346,0.56,0.0105,0.0724,0.729,117.387,alt-rock
The Beatles,A Day In The Life - Remastered 2009,0.364,0.457,4,-14.162,0.0675,0.29,0.000106,0.922,0.175,163.219,alt-rock
Aerosmith,Sweet Emotion,0.38,0.76,9,-10.961,0.0378,0.00298,0.0294,0.104,0.491,99.437,alt-rock
Steppenwolf,Born To Be Wild - Single Version,0.439,0.734,2,-12.168,0.097,0.262,0.333,0.244,0.54,145.703,alt-rock
U2,New Year's Day - Single Edit - Remastered,0.53,0.783,4,-6.768,0.0311,0.0033,0.0107,0.319,0.571,133.662,alt-rock
The Rolling Stones,"Paint It, Black",0.464,0.795,1,-9.267,0.0926,0.0493,0.00244,0.399,0.612,158.691,alt-rock
Led Zeppelin,Black Dog - Remaster,0.437,0.864,4,-7.842,0.0904,0.396,0.0314,0.242,0.749,81.394,alt-rock
Green Day,Basket Case,0.442,0.943,3,-3.205,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,alt-rock
Guns N' Roses,November Rain,0.294,0.641,11,-9.316,0.0291,0.0163,0.22,0.112,0.226,79.759,alt-rock
Pearl Jam,Even Flow,0.394,0.944,10,-6.506,0.0761,0.00178,4.54e-06,0.298,0.265,105.338,alt-rock
The Rolling Stones,You Can't Always Get What You Want,0.32,0.62,0,-9.686,0.0594,0.64,6.36e-05,0.253,0.472,86.327,alt-rock
Dire Straits,Money for Nothing,0.667,0.655,2,-9.339,0.0367,0.0491,0.000894,0.0641,0.657,134.212,alt-rock
Metallica,Nothing Else Matters,0.558,0.364,4,-11.258,0.0265,0.0505,5.02e-06,0.0753,0.17,142.171,alt-rock
Foo Fighters,Everlong,0.413,0.881,11,-5.541,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,alt-rock
The Rolling Stones,Angie,0.429,0.554,9,-6.128,0.0291,0.67,0.000152,0.105,0.407,136.302,alt-rock
Van Halen,Jump - 2015 Remaster,0.572,0.835,0,-6.219,0.0317,0.171,0.000376,0.0702,0.796,129.994,alt-rock
Blue Öyster Cult,(Don't Fear) The Reaper,0.333,0.927,9,-8.55,0.0733,0.0029,0.000208,0.297,0.385,141.466,alt-rock
The Beatles,Come Together - Remastered 2009,0.533,0.376,9,-11.913,0.0393,0.0302,0.248,0.0926,0.187,165.007,alt-rock
The Rolling Stones,Jumpin’ Jack Flash - Live,0.157,0.977,4,-4.198,0.107,0.00527,0.562,0.961,0.228,141.473,alt-rock
Pink Floyd,Time,0.358,0.48,9,-11.79,0.0849,0.521,0.00428,0.178,0.356,120.317,alt-rock
The Clash,Should I Stay or Should I Go - Remastered,0.742,0.833,2,-6.463,0.115,0.079,0.0,0.384,0.816,113.375,alt-rock
The Killers,Mr. Brightside,0.356,0.924,1,-3.74,0.0808,0.00101,0.0,0.0953,0.232,148.017,alt-rock
U2,Beautiful Day,0.539,0.926,2,-6.495,0.0499,0.014,0.00136,0.36,0.454,136.279,alt-rock
The Animals,House Of The Rising Sun,0.295,0.584,9,-6.696,0.0345,0.000385,0.218,0.0996,0.228,117.2,alt-rock
The Kinks,Lola - Coca Cola Version,0.474,0.917,9,-4.19,0.0395,0.582,0.231,0.201,0.902,152.113,alt-rock
Beck,Loser,0.654,0.611,2,-10.45,0.119,0.0337,0.000178,0.405,0.786,85.387,alt-rock
Rage Against The Machine,Killing In The Name,0.466,0.833,7,-4.215,0.304,0.0266,0.0,0.0327,0.661,88.785,alt-rock
Foo Fighters,All My Life,0.583,0.586,5,-5.683,0.0518,0.000231,0.000633,0.494,0.622,167.798,alt-rock
Aerosmith,Walk This Way,0.653,0.73,5,-10.613,0.043,0.0114,1.03e-05,0.0754,0.894,108.705,alt-rock
Dire Straits,Sultans of Swing,0.73,0.868,5,-7.325,0.0288,0.0632,0.0661,0.318,0.923,148.217,alt-rock
Queen,We Will Rock You - Remastered,0.693,0.497,2,-7.316,0.119,0.679,0.0,0.258,0.473,81.308,alt-rock
Blur,Song 2 - 2012 Remaster,0.674,0.789,8,-6.903,0.0676,0.00178,0.0071,0.0754,0.918,129.804,alt-rock
Joy Division,Love Will Tear Us Apart - 2010 Remaster,0.525,0.902,2,-8.662,0.0368,0.000989,0.691,0.137,0.907,146.83,alt-rock
U2,Where The Streets Have No Name - Remastered,0.49,0.724,2,-9.581,0.0366,0.00976,0.0046,0.159,0.292,125.812,alt-rock
Linkin Park,In the End,0.556,0.864,3,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,alt-rock
The Beach Boys,Good Vibrations - Remastered,0.396,0.473,10,-7.67,0.0345,0.326,0.000124,0.109,0.385,133.449,alt-rock
Free,All Right Now,0.787,0.472,2,-12.824,0.0832,0.221,0.000336,0.153,0.824,120.059,alt-rock
David Bowie,Changes - 2015 Remaster,0.547,0.308,0,-11.75,0.0377,0.505,0.0,0.109,0.41,114.719,alt-rock
Guns N' Roses,Paradise City,0.274,0.949,11,-8.642,0.0896,0.0214,0.00778,0.218,0.497,100.346,alt-rock
Metallica,One (Remastered),0.438,0.687,7,-9.15,0.0619,0.000668,0.0801,0.42,0.426,103.01,alt-rock
Jimi Hendrix,Hey Joe,0.346,0.768,9,-5.695,0.0377,0.00603,0.38,0.0244,0.532,169.492,alt-rock
Cream,Sunshine Of Your Love,0.683,0.594,2,-8.289,0.0347,0.385,8.61e-05,0.121,0.734,115.099,alt-rock
Red Hot Chili Peppers,Give It Away,0.666,0.936,7,-9.919,0.0476,0.00244,0.086,0.153,0.776,91.577,alt-rock
Franz Ferdinand,Take Me Out,0.278,0.676,9,-8.821,0.0371,0.000423,0.000899,0.136,0.494,104.545,alt-rock
Lynyrd Skynyrd,Sweet Home Alabama,0.596,0.605,7,-12.145,0.0255,0.181,0.000331,0.0863,0.886,97.798,alt-rock
AC/DC,Highway to Hell,0.574,0.913,6,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,alt-rock
The Doors,L.A. Woman,0.354,0.731,2,-9.178,0.0381,0.0817,0.00119,0.115,0.698,170.64,alt-rock
Green Day,American Idiot,0.38,0.988,1,-2.042,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,alt-rock
Soundgarden,Black Hole Sun,0.35,0.828,6,-5.373,0.041,0.000217,0.000161,0.0774,0.147,105.435,alt-rock
Rod Stewart,Maggie May,0.605,0.574,2,-10.536,0.0377,0.559,0.113,0.0684,0.543,129.449,alt-rock
R.E.M.,It's The End Of The World As We Know It (And I Feel Fine),0.381,0.894,7,-8.638,0.037,0.0258,0.0,0.0251,0.797,205.528,alt-rock
Talking Heads,Once in a Lifetime - 2005 Remaster,0.644,0.919,2,-6.289,0.0561,0.181,0.134,0.622,0.871,117.459,alt-rock
The Beatles,Strawberry Fields Forever - Remastered 2009,0.39,0.502,10,-12.277,0.178,0.336,0.000138,0.0713,0.289,97.871,alt-rock
The Doors,Riders on the Storm,0.549,0.722,11,-11.729,0.0283,0.25,0.0138,0.11,0.716,103.885,alt-rock
AC/DC,Thunderstruck,0.502,0.89,4,-5.175,0.0364,0.000147,0.0117,0.217,0.259,133.52,alt-rock
Oasis,Wonderwall - Remastered,0.372,0.865,2,-4.918,0.0381,0.000453,0.0,0.234,0.478,174.53,alt-rock
Green Day,Good Riddance (Time of Your Life),0.475,0.432,7,-7.844,0.0302,0.183,0.0,0.161,0.648,94.605,alt-rock
Thin Lizzy,The Boys Are Back In Town,0.445,0.706,8,-9.803,0.0461,0.234,0.000252,0.205,0.768,80.823,alt-rock
Stone Temple Pilots,Interstate Love Song - 2019 Remaster,0.215,0.927,9,-7.327,0.0452,0.000273,0.00661,0.126,0.49,170.814,alt-rock
The Rolling Stones,Start Me Up - Remastered,0.631,0.932,5,-4.142,0.0354,0.0436,0.137,0.0918,0.971,122.429,alt-rock
Ramones,Blitzkrieg Bop - 2016 Remaster,0.385,0.783,9,-2.533,0.233,0.000269,0.47,0.108,0.902,176.701,alt-rock
Beastie Boys,Fight For Your Right,0.503,0.858,8,-6.296,0.0657,0.00757,0.00234,0.0803,0.419,133.615,alt-rock
R.E.M.,The One I Love - Remastered,0.488,0.84,2,-4.626,0.0356,0.000395,1.21e-06,0.346,0.559,127.862,alt-rock
Lou Reed,Walk On the Wild Side,0.575,0.318,0,-16.729,0.109,0.683,0.000202,0.0934,0.385,104.522,alt-rock
Studio Allstars,Under Pressure - (Tribute to Queen & David Bowie),0.819,0.543,2,-11.705,0.0322,0.127,0.0784,0.0743,0.596,114.981,alt-rock
Coldplay,Yellow,0.429,0.661,11,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,alt-rock
Led Zeppelin,Ramble On - 1990 Remaster,0.468,0.607,9,-11.367,0.0336,0.072,0.000852,0.225,0.886,98.429,alt-rock
Queen,We Are The Champions - Remastered 2011,0.268,0.459,7,-6.948,0.0346,0.378,0.0,0.119,0.172,64.223,alt-rock
Fleetwood Mac,Go Your Own Way - 2004 Remaster,0.586,0.941,5,-5.139,0.0375,0.0167,0.000776,0.068,0.831,135.448,alt-rock
Linkin Park,Numb,0.496,0.863,9,-4.153,0.0381,0.0046,0.0,0.639,0.243,110.018,alt-rock
New Order,Blue Monday - 2016 Remaster,0.793,0.703,0,-9.548,0.0581,0.000726,0.88,0.075,0.856,130.27,alt-rock
The Beatles,While My Guitar Gently Weeps - Third Version / Take 27,0.54,0.512,4,-9.839,0.0348,0.24,0.0181,0.587,0.759,113.158,alt-rock
Joan Jett & The Blackhearts,I Love Rock 'N Roll,0.535,0.716,4,-5.025,0.0431,0.326,0.0,0.659,0.901,94.379,alt-rock
Cream,White Room,0.553,0.576,0,-13.458,0.0304,0.191,0.00664,0.0365,0.457,109.827,alt-rock
Nickelback,How You Remind Me,0.446,0.764,10,-5.042,0.033,0.00135,0.0,0.099,0.543,172.094,alt-rock
David Bowie,Space Oddity - 2015 Remaster,0.299,0.443,0,-12.621,0.0346,0.0748,0.000138,0.177,0.434,139.539,alt-rock
The Band,The Weight - Remastered,0.63,0.551,9,-9.28,0.0549,0.373,5.75e-05,0.103,0.518,143.868,alt-rock
Peter Gabriel,Sledgehammer - 2012 Remaster,0.641,0.682,8,-7.561,0.0392,0.044,0.0,0.0394,0.468,96.319,alt-rock
U2,Mysterious Ways,0.674,0.659,8,-8.049,0.0277,0.00156,0.00765,0.108,0.697,99.768,alt-rock
Evanescence,Bring Me To Life,0.331,0.943,4,-3.188,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,alt-rock
The Kinks,You Really Got Me - Mono Mix,0.573,0.939,8,-6.441,0.0808,0.493,0.0,0.0994,0.963,137.382,alt-rock
Jane's Addiction,Been Caught Stealing,0.639,0.929,0,-4.762,0.212,0.00326,0.0501,0.242,0.688,103.758,alt-rock
Stone Temple Pilots,Plush - 2017 Remaster,0.426,0.94,7,-5.279,0.0423,0.00671,1.72e-06,0.14,0.466,144.49,alt-rock
The Clash,Rock the Casbah - Remastered,0.796,0.872,9,-6.722,0.0573,0.287,0.0,0.284,0.866,129.894,alt-rock
Jimi Hendrix,Foxey Lady,0.494,0.838,4,-6.028,0.0387,0.0613,0.26,0.405,0.558,98.019,alt-rock
Pink Floyd,Shine On You Crazy Diamond (Pts. 1-5),0.266,0.294,7,-11.938,0.0291,0.771,0.697,0.107,0.0397,137.941,alt-rock
Bon Jovi,Livin' On A Prayer,0.534,0.887,0,-3.777,0.0345,0.0768,9.93e-05,0.325,0.72,122.494,alt-rock
Janis Joplin,Me and Bobby McGee,0.453,0.464,2,-10.96,0.0431,0.302,5.96e-05,0.152,0.658,93.19,alt-rock
The Who,Who Are You,0.651,0.648,9,-11.409,0.0501,0.262,0.0042,0.0655,0.49,156.372,alt-rock
The Rolling Stones,Brown Sugar - 2009 Mix,0.633,0.934,0,-3.594,0.0344,0.219,0.00021,0.0592,0.963,128.606,alt-rock
Pearl Jam,Black,0.36,0.684,4,-6.457,0.0308,0.323,0.0,0.34,0.2,77.15,alt-rock
Iggy Pop,Lust For Life,0.383,0.97,9,-5.638,0.0435,0.0276,0.0,0.0942,0.62,101.603,alt-rock
Kansas,Carry on Wayward Son,0.482,0.786,7,-5.735,0.032,0.00321,8.88e-05,0.446,0.793,126.755,alt-rock
KISS,Rock And Roll All Nite,0.654,0.929,1,-5.906,0.0998,0.0468,0.0,0.0539,0.902,144.774,alt-rock
Don McLean,American Pie,0.531,0.481,4,-11.709,0.06,0.699,0.0,0.0842,0.491,138.45,alt-rock
Eric Clapton,Cocaine,0.699,0.502,9,-12.526,0.0278,0.0607,0.0337,0.317,0.676,105.266,alt-rock
Van Halen,Runnin' with the Devil - 2015 Remaster,0.472,0.9,8,-6.406,0.0582,0.148,0.000297,0.34,0.42,95.826,alt-rock
The Rolling Stones,Honky Tonk Women - Live,0.368,0.987,7,-4.482,0.115,0.0137,0.00329,0.96,0.342,120.346,alt-rock
Coldplay,Clocks,0.577,0.749,5,-7.215,0.0279,0.599,0.0115,0.183,0.255,130.97,alt-rock
Foo Fighters,Best of You,0.366,0.94,1,-5.119,0.0696,0.000769,9.42e-05,0.188,0.369,130.198,alt-rock
David Bowie,Ziggy Stardust - 2012 Remaster,0.44,0.565,7,-11.657,0.121,0.048,0.0,0.213,0.495,161.124,alt-rock
Red Hot Chili Peppers,By the Way,0.451,0.97,0,-4.938,0.107,0.0264,0.00355,0.102,0.198,122.444,alt-rock
Radiohead,Paranoid Android,0.252,0.849,5,-6.501,0.0581,0.0377,0.00592,0.0545,0.194,163.704,alt-rock
Depeche Mode,Personal Jesus - Single Version,0.673,0.899,11,-3.528,0.0434,0.0911,0.0172,0.0481,0.793,129.885,alt-rock
Nirvana,In Bloom - Nevermind Version,0.436,0.876,10,-4.902,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,alt-rock
AC/DC,Dirty Deeds Done Dirt Cheap,0.668,0.906,11,-4.881,0.17,0.214,0.00245,0.135,0.507,135.653,alt-rock
Radiohead,Karma Police,0.36,0.505,7,-9.129,0.026,0.0626,9.22e-05,0.172,0.317,74.807,alt-rock
The Beatles,Revolution - Remastered 2009,0.407,0.834,6,-9.224,0.208,0.0734,0.00021,0.241,0.71,121.38,alt-rock
Tom Petty,Free Fallin',0.623,0.449,5,-13.333,0.0253,0.212,0.0,0.0613,0.572,84.383,alt-rock
The Beatles,Something - Remastered 2009,0.396,0.338,0,-10.872,0.0304,0.198,2.62e-06,0.138,0.377,133.522,alt-rock
The Smiths,How Soon Is Now? - 2011 Remaster,0.398,0.93,11,-6.76,0.0615,0.000854,0.121,0.0874,0.725,190.818,alt-rock
Procol Harum,A Whiter Shade of Pale - Original Single Version,0.249,0.66,0,-6.905,0.0342,0.504,0.0026,0.0891,0.435,149.813,alt-rock
Various Artists,Buddy Holly,0.52,0.912,8,-3.118,0.0372,0.000572,0.000378,0.0554,0.821,121.206,alt-rock
Santana,Black Magic Woman - Single Version,0.489,0.349,2,-14.295,0.0323,0.676,0.0789,0.0866,0.622,124.348,alt-rock
Green Day,Boulevard of Broken Dreams,0.496,0.682,8,-4.095,0.0294,0.00552,2.94e-05,0.0589,0.474,167.06,alt-rock
T. Rex,Bang A Gong (Get It On) (Electric Version),0.788,0.748,9,-6.907,0.0306,0.451,0.00408,0.104,0.845,121.047,alt-rock
The Rolling Stones,Wild Horses - 2009 Mix,0.432,0.389,7,-6.517,0.0255,0.687,0.0107,0.0788,0.158,139.506,alt-rock
Queen,Another One Bites The Dust - Remastered 2011,0.933,0.528,5,-6.472,0.162,0.112,0.329,0.163,0.756,109.975,alt-rock
Nirvana,Lithium,0.678,0.656,7,-6.41,0.0381,0.00174,0.0,0.0631,0.485,123.207,alt-rock
The Beatles,Yesterday - Remastered 2009,0.332,0.179,5,-11.83,0.0326,0.879,0.0,0.0886,0.315,96.529,alt-rock
Green Day,When I Come Around,0.531,0.909,11,-4.236,0.034,0.0175,0.0,0.231,0.814,97.546,alt-rock
Kings of Leon,Sex on Fire,0.542,0.905,9,-5.653,0.054,0.00172,0.0104,0.136,0.374,153.398,alt-rock
Neil Young,Heart of Gold - 2009 Remaster,0.541,0.459,4,-10.433,0.0297,0.189,0.0274,0.099,0.803,171.165,alt-rock
OutKast,Hey Ya! - Radio Mix,0.727,0.974,4,-2.261,0.0664,0.103,0.000532,0.174,0.965,79.526,alt-rock
Stevie Wonder,Superstition - Single Version,0.643,0.628,10,-12.075,0.0748,0.0443,0.00613,0.0359,0.894,100.392,alt-rock
AC/DC,Hells Bells,0.389,0.873,4,-4.768,0.0475,0.00532,0.0055,0.273,0.303,106.767,alt-rock
The Beatles,Eleanor Rigby - Remastered 2009,0.581,0.28,4,-9.091,0.0381,0.936,1.56e-05,0.305,0.813,137.831,alt-rock
Queens of the Stone Age,No One Knows,0.507,0.588,0,-4.881,0.0641,0.0359,0.000129,0.373,0.637,170.889,alt-rock
Motörhead,Ace of Spades,0.329,0.974,3,-8.77,0.135,0.000852,0.000118,0.0904,0.234,140.862,alt-rock
The Beatles,A Hard Day's Night - Remastered 2009,0.59,0.805,0,-6.481,0.0371,0.137,0.0,0.0996,0.797,138.514,alt-rock
Rush,Tom Sawyer,0.536,0.901,9,-7.211,0.0374,0.00145,0.0186,0.06,0.666,87.559,alt-rock
Creedence Clearwater Revival,Fortunate Son,0.64,0.663,0,-7.516,0.0374,0.201,0.00806,0.152,0.663,132.77,alt-rock
Sex Pistols,"Anarchy In The U.K. - Live From Finsbury Park,London,United Kingdom/1996",0.273,0.953,4,-6.627,0.0614,7.14e-05,0.00159,0.968,0.285,134.887,alt-rock
Incubus,Drive,0.645,0.792,4,-7.34,0.036,0.0562,0.0121,0.119,0.666,90.565,alt-rock
Jefferson Airplane,Somebody to Love,0.504,0.578,4,-9.302,0.031,0.408,0.0,0.321,0.654,132.411,alt-rock
Alice Cooper,School's Out,0.294,0.745,5,-9.138,0.0461,0.05,0.125,0.676,0.347,134.364,alt-rock
Aretha Franklin,Respect,0.805,0.558,0,-5.226,0.041,0.164,2.2e-05,0.0546,0.965,114.95,alt-rock
Papa Roach,Last Resort,0.581,0.887,4,-3.659,0.0624,0.000504,0.00111,0.268,0.724,90.578,alt-rock
Tom Petty and the Heartbreakers,Refugee,0.579,0.705,6,-4.911,0.0339,0.0273,0.0,0.0704,0.761,116.173,alt-rock
ZZ Top,La Grange - 2005 Remaster,0.545,0.64,4,-9.937,0.224,0.00249,0.0304,0.196,0.606,80.544,alt-rock
Creedence Clearwater Revival,Bad Moon Rising,0.508,0.774,2,-5.973,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,alt-rock
The Moody Blues,Nights In White Satin - Single Version / Mono Mix,0.195,0.483,4,-4.991,0.03,0.465,0.497,0.0686,0.173,84.71,alt-rock
Simon & Garfunkel,Bridge Over Troubled Water,0.149,0.206,3,-13.888,0.0323,0.822,0.000649,0.115,0.264,79.764,alt-rock
Nirvana,All Apologies,0.446,0.632,1,-12.197,0.034,0.0793,0.000266,0.0881,0.359,113.176,alt-rock
Bruce Springsteen,Born in the U.S.A.,0.398,0.952,4,-6.042,0.061,0.000373,7.75e-05,0.1,0.584,122.093,alt-rock
Def Leppard,Pour Some Sugar On Me - Remastered 2017,0.267,0.953,1,-4.899,0.096,0.00211,0.0,0.283,0.568,84.989,alt-rock
Pearl Jam,Better Man,0.445,0.671,2,-7.937,0.0387,0.165,1.56e-05,0.0791,0.267,125.712,alt-rock
Led Zeppelin,Over the Hills and Far Away - 1990 Remaster,0.412,0.54,7,-13.897,0.0516,0.0582,0.0717,0.0849,0.299,96.783,alt-rock
Violent Femmes,Blister In The Sun,0.726,0.537,0,-8.896,0.113,0.316,0.0,0.0707,0.887,96.91,alt-rock
Red Hot Chili Peppers,Californication,0.592,0.767,9,-2.788,0.027,0.0021,0.00165,0.127,0.328,96.483,alt-rock
The Doors,Roadhouse Blues (Takes 1 & 2) [We're Gonna Have A Real Good Time] - 2020 Remaster,0.629,0.458,4,-14.812,0.0564,0.118,0.000194,0.392,0.732,122.1,alt-rock
Elton John,Tiny Dancer,0.414,0.428,0,-11.097,0.0278,0.382,0.000243,0.148,0.282,145.075,alt-rock
Jethro Tull,Aqualung,0.477,0.479,7,-11.887,0.0483,0.0649,0.029,0.0906,0.662,122.531,alt-rock
Bob Dylan,Knockin' On Heaven's Door,0.513,0.396,7,-13.061,0.0299,0.251,0.177,0.11,0.229,140.208,alt-rock
Buffalo Springfield,For What It's Worth,0.653,0.519,2,-10.164,0.0497,0.406,0.0209,0.101,0.822,98.883,alt-rock
Jefferson Airplane,White Rabbit,0.551,0.293,2,-12.503,0.0272,0.486,0.000273,0.0864,0.322,106.798,alt-rock
Marvin Gaye,What's Going On,0.433,0.733,1,-9.244,0.0491,0.307,0.000144,0.0827,0.742,102.662,alt-rock
Bachman-Turner Overdrive,You Ain't Seen Nothing Yet,0.475,0.439,11,-15.039,0.0427,0.000146,0.000277,0.223,0.76,118.392,alt-rock
